,Acidentes
2007-01-31,10611
2007-02-28,9624
2007-03-31,9997
2007-04-30,10191
2007-05-31,10489
2007-06-30,10459
2007-07-31,11190
2007-08-31,10504
2007-09-30,10479
2007-10-31,10889
2007-11-30,10604
2007-12-31,12634
2008-01-31,11994
2008-02-29,10657
2008-03-31,11529
2008-04-30,11573
2008-05-31,11536
2008-06-30,11379
2008-07-31,11367
2008-08-31,11417
2008-09-30,11669
2008-10-31,11798
2008-11-30,12092
2008-12-31,14027
2009-01-31,12264
2009-02-28,11733
2009-03-31,12689
2009-04-30,12186
2009-05-31,13186
2009-06-30,12775
2009-07-31,13487
2009-08-31,13548
2009-09-30,13019
2009-10-31,13932
2009-11-30,13462
2009-12-31,16365
2010-01-31,14987
2010-02-28,13498
2010-03-31,14971
2010-04-30,14635
2010-05-31,15036
2010-06-30,14170
2010-07-31,15758
2010-08-31,15303
2010-09-30,15464
2010-10-31,15679
2010-11-30,15491
2010-12-31,18473
2011-01-31,16152
2011-02-28,14813
2011-03-31,15612
2011-04-30,16641
2011-05-31,16476
2011-06-30,15502
2011-07-31,16519
2011-08-31,15879
2011-09-30,15626
2011-10-31,16225
2011-11-30,15397
2011-12-31,17480
2012-01-31,15710
2012-02-29,14537
2012-03-31,15368
2012-04-30,15548
2012-05-31,15175
2012-06-30,15275
2012-07-31,15908
2012-08-31,13403
2012-09-30,14836
2012-10-31,16151
2012-11-30,15140
2012-12-31,17510
2013-01-31,15630
2013-02-28,13532
2013-03-31,16095
2013-04-30,14750
2013-05-31,15821
2013-06-30,15364
2013-07-31,16010
2013-08-31,15620
2013-09-30,15395
2013-10-31,15281
2013-11-30,16071
2013-12-31,17176
2014-01-31,15090
2014-02-28,14005
2014-03-31,14800
2014-04-30,14685
2014-05-31,14220
2014-06-30,13211
2014-07-31,13650
2014-08-31,13961
2014-09-30,13596
2014-10-31,13905
2014-11-30,13437
2014-12-31,14637
2015-01-31,12230
2015-02-28,11422
2015-03-31,12448
2015-04-30,12064
2015-05-31,12707
2015-06-30,10681
2015-07-31,8592
2015-08-31,8214
2015-09-30,8049
2015-10-31,8187
2015-11-30,8077
2015-12-31,9487
2016-01-31,8521
2016-02-29,7478
2016-03-31,8515
2016-04-30,7981
2016-05-31,8116
2016-06-30,7718
2016-07-31,8026
2016-08-31,8294
2016-09-30,7620
2016-10-31,7944
2016-11-30,7537
2016-12-31,8612
2017-01-31,7432
2017-02-28,7077
2017-03-31,7494
2017-04-30,7762
2017-05-31,7756
2017-06-30,7517
2017-07-31,7319
2017-08-31,7085
2017-09-30,7134
2017-10-31,7391
2017-11-30,6973
2017-12-31,8623
2018-01-31,6940
2018-02-28,6192
2018-03-31,6684
2018-04-30,5530
2018-05-31,4818
2018-06-30,5566
2018-07-31,5431
2018-08-31,5442
2018-09-30,5448
2018-10-31,5430
2018-11-30,5460
2018-12-31,6354
2019-01-31,5120
2019-02-28,4963
2019-03-31,5593
2019-04-30,5436
2019-05-31,5473
2019-06-30,5578
2019-07-31,5794
2019-08-31,5703
2019-09-30,5868
2019-10-31,5881
2019-11-30,5802
2019-12-31,6235
2020-01-31,5497
2020-02-29,5467
2020-03-31,4790
2020-04-30,3883
2020-05-31,4657
2020-06-30,4734
2020-07-31,5127
2020-08-31,5643
2020-09-30,5689
2020-10-31,6120
2020-11-30,5745
2020-12-31,6196
2021-01-31,5458
2021-02-28,4978
2021-03-31,4755
2021-04-30,4851
2021-05-31,5587
2021-06-30,5318
2021-07-31,5808
2021-08-31,5616
2021-09-30,5428
2021-10-31,5756
2021-11-30,5084
2021-12-31,5802
2022-01-31,5018
2022-02-28,4823
